id_registro,nivel_analisis,fuente_origen,pais,departamento,municipio,anio,latitud,longitud,area_perdida_bosque_ha,emisiones_co2_mg,driver_dominante,area_transformada_ha,clase_transformacion_dominante,num_focos_calor,frp_promedio,confianza_promedio_focos,porcentaje_area_forestal,area_forestal_ha,deforestacion_anual_ha_owid
9,Global,FAO_SDG,Afghanistan,,,2010,,,,,,,,,,,1.85,1209.44,
10,Global,FAO_SDG,Afghanistan,,,2010,,,,,,,,,,,1.85,1209.44,
11,Global,FAO_SDG,Afghanistan,,,2010,,,,,,,,,,,1.85,1209.44,
12,Global,FAO_SDG,Afghanistan,,,2010,,,,,,,,,,,1.85,1209.44,
13,Global,FAO_SDG,Afghanistan,,,2015,,,,,,,,,,,1.85,1209.44,
14,Global,FAO_SDG,Afghanistan,,,2015,,,,,,,,,,,1.85,1209.44,
15,Global,FAO_SDG,Afghanistan,,,2015,,,,,,,,,,,1.85,1209.44,
16,Global,FAO_SDG,Afghanistan,,,2015,,,,,,,,,,,1.85,1209.44,
17,Global,FAO_SDG,Afghanistan,,,2020,,,,,,,,,,,1.85,1209.44,
18,Global,FAO_SDG,Afghanistan,,,2020,,,,,,,,,,,1.85,1209.44,
19,Global,FAO_SDG,Afghanistan,,,2020,,,,,,,,,,,1.85,1209.44,
20,Global,FAO_SDG,Afghanistan,,,2020,,,,,,,,,,,1.85,1209.44,
33,Global,FAO_SDG+OWID,Africa,,,2010,,,,,,,,,,,23.83,712895.24,4054850.0
34,Global,FAO_SDG+OWID,Africa,,,2010,,,,,,,,,,,23.83,712895.24,4054850.0
35,Global,FAO_SDG+OWID,Africa,,,2010,,,,,,,,,,,23.83,712895.24,4054850.0
36,Global,FAO_SDG+OWID,Africa,,,2010,,,,,,,,,,,23.83,712895.24,4054850.0
37,Global,FAO_SDG+OWID,Africa,,,2015,,,,,,,,,,,23.13,692236.82,3251240.0
38,Global,FAO_SDG+OWID,Africa,,,2015,,,,,,,,,,,23.13,692236.82,3251240.0
39,Global,FAO_SDG+OWID,Africa,,,2015,,,,,,,,,,,23.13,692236.82,3251240.0
40,Global,FAO_SDG+OWID,Africa,,,2015,,,,,,,,,,,23.13,692236.82,3251240.0
41,Global,FAO_SDG+OWID,Africa,,,2020,,,,,,,,,,,22.61,676859.43,3021250.0
42,Global,FAO_SDG+OWID,Africa,,,2020,,,,,,,,,,,22.61,676859.43,3021250.0
43,Global,FAO_SDG+OWID,Africa,,,2020,,,,,,,,,,,22.61,676859.43,3021250.0
44,Global,FAO_SDG+OWID,Africa,,,2020,,,,,,,,,,,22.61,676859.43,3021250.0
57,Global,FAO_SDG,Albania,,,2010,,,,,,,,,,,28.54,782.07,
58,Global,FAO_SDG,Albania,,,2010,,,,,,,,,,,28.54,782.07,
59,Global,FAO_SDG,Albania,,,2010,,,,,,,,,,,28.54,782.07,
60,Global,FAO_SDG,Albania,,,2010,,,,,,,,,,,28.54,782.07,
