id_registro,nivel_analisis,fuente_origen,pais,departamento,municipio,anio,latitud,longitud,area_perdida_bosque_ha,emisiones_co2_mg,driver_dominante,area_transformada_ha,clase_transformacion_dominante,num_focos_calor,frp_promedio,confianza_promedio_focos,porcentaje_area_forestal,area_forestal_ha,deforestacion_anual_ha_owid,es_agregado_regional,area_perdida_bosque_ha_atipico,emisiones_co2_mg_atipico,area_transformada_ha_atipico,num_focos_calor_atipico
1,Global,FAO_SDG,Afghanistan,,,2010,,,,,,,,,,,1.85,1209.44,,False,False,False,False,False
2,Global,FAO_SDG,Afghanistan,,,2015,,,,,,,,,,,1.85,1209.44,,False,False,False,False,False
3,Global,FAO_SDG,Afghanistan,,,2020,,,,,,,,,,,1.85,1209.44,,False,False,False,False,False
4,Global,FAO_SDG+OWID,Africa,,,2010,,,,,,,,,,,23.83,712895.24,4054850.0,True,False,False,False,False
5,Global,FAO_SDG+OWID,Africa,,,2015,,,,,,,,,,,23.13,692236.82,3251240.0,True,False,False,False,False
6,Global,FAO_SDG+OWID,Africa,,,2020,,,,,,,,,,,22.61,676859.43,3021250.0,True,False,False,False,False
7,Global,FAO_SDG,Albania,,,2010,,,,,,,,,,,28.54,782.07,,False,False,False,False,False
8,Global,FAO_SDG,Albania,,,2015,,,,,,,,,,,29.09,797.18,,False,False,False,False,False
9,Global,FAO_SDG,Albania,,,2020,,,,,,,,,,,34.34,941.0,,False,False,False,False,False
10,Global,FAO_SDG+OWID,Algeria,,,2010,,,,,,,,,,,0.71,1701.47,33790.0,False,False,False,False,False
11,Global,FAO_SDG+OWID,Algeria,,,2015,,,,,,,,,,,0.71,1698.1,11560.0,False,False,False,False,False
12,Global,FAO_SDG+OWID,Algeria,,,2020,,,,,,,,,,,0.71,1694.73,8670.0,False,False,False,False,False
13,Global,FAO_SDG,American Samoa,,,2010,,,,,,,,,,,80.95,16.19,,False,False,False,False,False
14,Global,FAO_SDG,American Samoa,,,2015,,,,,,,,,,,79.25,15.85,,False,False,False,False,False
15,Global,FAO_SDG,American Samoa,,,2020,,,,,,,,,,,79.25,15.85,,False,False,False,False,False
16,Global,FAO_SDG,Americas,,,2010,,,,,,,,,,,43.47,1680995.67,,True,False,False,False,False
17,Global,FAO_SDG,Americas,,,2015,,,,,,,,,,,43.15,1668360.22,,True,False,False,False,False
18,Global,FAO_SDG,Americas,,,2020,,,,,,,,,,,42.63,1648097.17,,True,False,False,False,False
19,Global,FAO_SDG,Andorra,,,2010,,,,,,,,,,,38.47,18.08,,False,False,False,False,False
20,Global,FAO_SDG,Andorra,,,2015,,,,,,,,,,,38.91,18.29,,False,False,False,False,False
21,Global,FAO_SDG,Andorra,,,2020,,,,,,,,,,,38.64,18.16,,False,False,False,False,False
22,Global,FAO_SDG+OWID,Angola,,,2010,,,,,,,,,,,56.88,70912.78,510440.0,False,False,False,False,False
23,Global,FAO_SDG+OWID,Angola,,,2015,,,,,,,,,,,54.83,68362.63,510440.0,False,False,False,False,False
24,Global,FAO_SDG+OWID,Angola,,,2020,,,,,,,,,,,52.79,65812.48,510440.0,False,False,False,False,False
25,Global,FAO_SDG,Anguilla,,,2010,,,,,,,,,,,61.11,5.5,,False,False,False,False,False
26,Global,FAO_SDG,Anguilla,,,2015,,,,,,,,,,,61.11,5.5,,False,False,False,False,False
